Study Plot A,Time,Celsius(C),Humidity(%rh),Dew Point(C),Comments,Serial Number
1,3/4/2025 10:08,19,50.5,8.5,,65051776
2,3/4/2025 10:38,16.5,53.5,7,,
3,3/4/2025 11:08,16,56.5,7.4,,
4,3/4/2025 11:38,17.5,56,8.6,,
5,3/4/2025 12:08,19.5,51,9.1,,
6,3/4/2025 12:38,17.5,53.5,8,,
7,3/4/2025 13:08,18,52.5,8.1,,
8,3/4/2025 13:38,18,52.5,8.1,,
9,3/4/2025 14:08,20.5,44.5,8,,
10,3/4/2025 14:38,19,50,8.4,,
11,3/4/2025 15:08,18,52,8,,
12,3/4/2025 15:38,17,54,7.6,,
13,3/4/2025 16:08,18.5,54,9,,
14,3/4/2025 16:38,19,52,8.9,,
15,3/4/2025 17:08,14.5,58,6.3,,
16,3/4/2025 17:38,12.5,64,5.9,,
17,3/4/2025 18:08,10.5,68,4.9,,
18,3/4/2025 18:38,10,70.5,4.9,,
19,3/4/2025 19:08,9,75,4.8,,
20,3/4/2025 19:38,8.5,78,4.9,,
21,3/4/2025 20:08,8.5,80,5.3,,
22,3/4/2025 20:38,10.5,73,5.9,,
23,3/4/2025 21:08,9.5,75,5.3,,
24,3/4/2025 21:38,9,78,5.4,,
25,3/4/2025 22:08,8.5,79.5,5.2,,
26,3/4/2025 22:38,8,83.5,5.4,,
27,3/4/2025 23:08,8.5,84.5,6,,
28,3/4/2025 23:38,9,83.5,6.4,,
29,3/5/2025 0:08,9,82.5,6.2,,
30,3/5/2025 0:38,9,83.5,6.4,,
31,3/5/2025 1:08,9,85,6.6,,
32,3/5/2025 1:38,9.5,84,6.9,,
33,3/5/2025 2:08,9.5,82,6.6,,
34,3/5/2025 2:38,10,79.5,6.6,,
35,3/5/2025 3:08,9.5,82.5,6.7,,
36,3/5/2025 3:38,9.5,83,6.8,,
37,3/5/2025 4:08,9,84.5,6.5,,
38,3/5/2025 4:38,9,84.5,6.5,,
39,3/5/2025 5:08,9.5,84.5,7,,
