date,week,site,rep,plant,p_freshMass,p_surfaceArea,p_dryMass,l_freshMass,l_surfaceArea,l_dryMass
2/25/2025,1,A,1,#21,84.3,8.016,11.74,,,
2/25/2025,1,A,2,#22,103.2,9.597,10.96,,,
2/25/2025,1,A,3,#23,108.2,10.48,13.19,,,
2/25/2025,1,A,4,#24,117.8,9.972,11.5,,,
2/25/2025,1,A,5,#25,140,11.746,15.5,,,
3/4/2025,2,A,1,#21,100.51,10.011,10.68,,,
3/4/2025,2,A,2,#22,130.04,11.484,15.25,,,
3/4/2025,2,A,3,#23,95.73,7.169,12.25,,,
3/4/2025,2,A,4,#24,89.63,7.66,10.63,,,
3/4/2025,2,A,5,#25,135.25,12.865,14.9,,,
3/4/2025,2,A,6,#26,107.77,10.223,14,,,
3/4/2025,2,A,7,#27,82.34,7.298,9.35,,,
3/4/2025,2,A,8,#28,95.72,9.806,12.05,,,
3/4/2025,2,A,9,#29,80.51,9.349,10.23,,,
3/4/2025,2,A,10,#30,26.05,3.473,3.64,,,
3/11/2025,3,A,1,#21,121.16,12.61,14.98,,,
3/11/2025,3,A,2,#22,132.13,10.891,18.1,,,
3/11/2025,3,A,3,#23,70.55,7.476,8.85,,,
3/11/2025,3,A,4,#24,146.59,13.142,18.7,,,
3/11/2025,3,A,5,#25,153.83,14.545,19.33,,,
3/11/2025,3,A,6,#26,56.84,5.267,9.01,,,
3/11/2025,3,A,7,#27,56.37,5.847,7.11,,,
3/11/2025,3,A,8,#28,90.05,10.154,12.25,,,
3/11/2025,3,A,9,#29,106.66,10.243,13.53,,,
3/11/2025,3,A,10,#30,107.13,10.336,13.77,,,
3/11/2025,3,A,11,#31,93.6,9.937,11.64,,,
3/11/2025,3,A,12,#32,85.2,10.077,11.7,,,
3/11/2025,3,A,13,#33,171.78,16.689,19.21,,,
3/11/2025,3,A,14,#34,124.5,12.481,14.09,,,
3/18/2025,4,A,1,#21,101,9.226,11.52,157.67,3.87,29.58
3/18/2025,4,A,2,#22,107.24,10.607,12.87,264.54,5.657,49.89
3/18/2025,4,A,3,#23,58.94,5.854,7.05,44.32,1.547,7.91
3/18/2025,4,A,4,#24,51.68,5.35,6.72,37.8,1.2,6.38
3/18/2025,4,A,5,#25,95.02,9.202,10.88,67.23,2.1,13.98
3/18/2025,4,A,6,#26,117.56,11.744,12.94,166.98,3.88,32.1
3/18/2025,4,A,7,#27,96.7,7.84,10.08,36.21,1.177,6.66
3/18/2025,4,A,8,#28,113.86,10.67,14.1,353.84,7.482,58.44
3/18/2025,4,A,9,#29,129.77,12.484,15.27,149.14,4.545,26.69
3/18/2025,4,A,10,#30,53.33,5.559,6.95,433.81,11.297,51.08
3/18/2025,4,A,11,#31,84.01,7.541,10.81,83.5,2.547,17.71
3/18/2025,4,A,12,#32,89.91,8.613,11.19,322.74,7.953,55.71
3/18/2025,4,A,13,#33,67.35,7.167,8.76,58.43,2.258,13.1
