date,week,site,rep,plant,p_freshMass,p_surfaceArea,p_dryMass,l_freshMass,l_surfaceArea,l_dryMass
2/25/2025,1,A,1,#21,84.3,8.016,11.74,n,n,n
2/25/2025,1,A,2,#22,103.2,9.597,10.96,n,n,n
2/25/2025,1,A,3,#23,108.2,10.48,13.19,n,n,n
2/25/2025,1,A,4,#24,117.8,9.972,11.5,n,n,n
2/25/2025,1,A,5,#25,140,11.746,15.5,n,n,n
3/4/2025,2,A,1,#21,100.51,10.011,10.68,n,n,n
3/4/2025,2,A,2,#22,130.04,11.484,15.25,n,n,n
3/4/2025,2,A,3,#23,95.73,7.169,12.25,n,n,n
3/4/2025,2,A,4,#24,89.63,7.66,10.63,n,n,n
3/4/2025,2,A,5,#25,135.25,12.865,14.9,n,n,n
3/4/2025,2,A,6,#26,107.77,10.223,14,n,n,n
3/4/2025,2,A,7,#27,82.34,7.298,9.35,n,n,n
3/4/2025,2,A,8,#28,95.72,9.806,12.05,n,n,n
3/4/2025,2,A,9,#29,80.51,9.349,10.23,n,n,n
3/4/2025,2,A,10,#30,26.05,3.473,3.64,n,n,n
3/11/2025,3,A,1,#21,121.16,12.61,14.98,n,n,n
3/11/2025,3,A,2,#22,132.13,10.891,18.1,n,n,n
3/11/2025,3,A,3,#23,70.55,7.476,8.85,n,n,n
3/11/2025,3,A,4,#24,146.59,13.142,18.7,n,n,n
3/11/2025,3,A,5,#25,153.83,14.545,19.33,n,n,n
3/11/2025,3,A,6,#26,56.84,5.267,9.01,n,n,n
3/11/2025,3,A,7,#27,56.37,5.847,7.11,n,n,n
3/11/2025,3,A,8,#28,90.05,10.154,12.25,n,n,n
3/11/2025,3,A,9,#29,106.66,10.243,13.53,n,n,n
3/11/2025,3,A,10,#30,107.13,10.336,13.77,n,n,n
3/11/2025,3,A,11,#31,93.6,9.937,11.64,n,n,n
3/11/2025,3,A,12,#32,85.2,10.077,11.7,n,n,n
3/11/2025,3,A,13,#33,171.78,16.689,19.21,n,n,n
3/11/2025,3,A,14,#34,124.5,12.481,14.09,n,n,n
3/18/2025,4,A,1,#21,101,9.226,11.52,157.67,3.87,29.58
3/18/2025,4,A,2,#22,107.24,10.607,12.87,264.54,5.657,49.89
