Time,Date,Sample,Study plot,Petal side,gsw,leak_pct,plant
13:03:44,2/25/2025,2.0,A,bottom,0.117323,0.7,#2
13:04:36,2/25/2025,2.0,A,top,0.007646,0.7,#2
13:07:19,2/25/2025,1.0,A,top,0.009358,0.6,#1
13:07:57,2/25/2025,1.0,A,bottom,-3.6e-05,0.4,#1
13:09:51,2/25/2025,3.0,A,top,0.000372,0.6,#3
13:10:46,2/25/2025,3.0,A,bottom,-0.016144,0.6,#3
13:12:06,2/25/2025,4.0,A,bottom,-0.006205,1.0,#21
13:13:28,2/25/2025,4.0,A,top,-0.01288,0.6,#21
13:23:22,2/25/2025,5.0,A,top,-0.01161,0.6,#22
13:24:11,2/25/2025,5.0,A,bottom,-0.002482,0.6,#22
13:29:19,2/25/2025,6.0,A,top,0.008191,0.4,#23
13:29:44,2/25/2025,6.0,A,bottom,0.024326,0.5,#23
13:34:33,2/25/2025,7.0,A,bottom,0.018264,0.5,#24
13:35:50,2/25/2025,7.0,A,top,0.004071,0.3,#24
13:39:48,2/25/2025,8.0,A,top,0.029588,0.4,#25
13:40:14,2/25/2025,8.0,A,bottom,0.008455,0.3,#25
12:16:42,3/4/2025,1.0,A,bottom,-0.003114,0.7,#1
12:17:10,3/4/2025,1.0,A,top,0.005496,0.3,#1
12:18:41,3/4/2025,2.0,A,top,0.003967,0.2,#2
12:19:07,3/4/2025,2.0,A,bottom,-0.008912,0.1,#2
12:22:31,3/4/2025,3.0,A,bottom,0.009261,0.1,#3
12:23:17,3/4/2025,3.0,A,top,0.009731,0.2,#3
12:25:22,3/4/2025,4.0,A,top,0.008783,0.3,#4
12:26:01,3/4/2025,4.0,A,bottom,0.008045,0.0,#4
12:31:33,3/4/2025,5.0,A,bottom,0.010931,0.0,#5
12:32:10,3/4/2025,5.0,A,top,0.006588,0.2,#5
12:37:25,3/4/2025,6.0,A,top,0.014594,0.0,#6
12:38:13,3/4/2025,6.0,A,bottom,0.005238,0.0,#6
12:42:06,3/4/2025,7.0,A,bottom,0.006658,0.1,#7
12:42:38,3/4/2025,7.0,A,top,0.005513,0.4,#7
12:51:17,3/4/2025,8.0,A,top,0.016673,0.0,#8
12:52:28,3/4/2025,8.0,A,bottom,-0.005731,0.2,#8
12:55:27,3/4/2025,9.0,A,bottom,-0.006933,0.4,#9
12:56:00,3/4/2025,9.0,A,top,0.015865,0.6,#9
12:59:33,3/4/2025,10.0,A,top,0.00406,0.6,#10
13:00:27,3/4/2025,10.0,A,bottom,-0.021514,0.3,#10
13:05:19,3/4/2025,11.0,A,bottom,0.002649,0.3,#11
13:06:12,3/4/2025,11.0,A,top,-0.014461,0.1,#11
13:09:42,3/4/2025,12.0,A,top,0.001574,0.2,#12
13:10:08,3/4/2025,12.0,A,bottom,-0.006209,0.2,#12
13:44:59,3/4/2025,13.0,A,bottom,0.005605,0.4,#21
13:45:21,3/4/2025,13.0,A,top,0.001732,0.4,#21
13:48:19,3/4/2025,14.0,A,top,0.003971,0.2,#22
13:48:41,3/4/2025,14.0,A,bottom,-0.004369,0.2,#22
13:51:03,3/4/2025,15.0,A,bottom,-0.00409,0.0,#23
13:51:42,3/4/2025,15.0,A,top,0.02665,0.2,#23
13:54:21,3/4/2025,16.0,A,top,0.004211,0.1,#24
13:54:58,3/4/2025,16.0,A,bottom,-0.005761,0.3,#24
13:57:34,3/4/2025,17.0,A,bottom,-0.007234,0.5,#25
13:58:09,3/4/2025,17.0,A,top,0.005243,0.3,#25
14:01:13,3/4/2025,18.0,A,top,0.001925,0.2,#26
