SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample,Study plot,Petal side,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:31:47,2025-03-11,Petals barcode,Shea Nolan,,001,A,bottom,-0.005118,2.539836,-0.005128,-0.078175,0.920830,0.923625,2.394547,1.473717,9.393449,9.365027,24.353020,0.441786,7.500000,39.32,39.44,19.97,20.33,20.33,98.33,120.4,120.1,0.3,1412,4.042,10:31:13,2025-03-11,-0.06,1,-0.001,-0.002,-9999.000,-0.007,-0.011,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.484636,2.495537,1.357651,0.844000,0.333650,0.003794,0.087319,1.332626,51.289200,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
2,10:32:21,2025-03-11,Petals barcode,Shea Nolan,,001,A,top,0.009892,2.540902,0.009854,0.140247,0.895367,0.890354,2.272820,1.377453,9.051644,9.102611,23.106276,0.441786,7.500000,38.26,38.05,19.96,19.49,19.49,98.36,120.5,119.9,0.5,49,4.041,10:31:13,2025-03-11,-0.06,1,0.002,0.003,-0.005,-0.002,-0.010,-0.019,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.482536,2.493924,1.358285,0.843588,0.333788,-0.005453,0.091051,0.149249,50.968052,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
3,10:39:35,2025-03-11,Petals barcode,Shea Nolan,,002,A,bottom,-0.010849,2.542677,-0.010896,-0.205081,1.112432,1.119735,2.925039,1.812607,11.388708,11.314431,29.750267,0.441786,7.500000,42.33,42.60,21.84,23.61,23.61,98.32,120.6,119.7,0.7,1636,4.035,10:31:13,2025-03-11,-0.06,1,0.001,-0.002,-9999.000,-0.005,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.488913,2.499635,1.359343,0.843132,0.309432,0.019653,0.134527,1.527269,48.383831,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
4,10:40:07,2025-03-11,Petals barcode,Shea Nolan,,002,A,top,0.008240,2.539313,0.008214,0.140494,1.038762,1.033745,2.688614,1.649852,10.514243,10.565276,27.345963,0.441786,7.500000,39.10,38.91,22.02,22.22,22.22,98.32,120.3,119.9,0.4,73,4.033,10:31:13,2025-03-11,-0.06,1,0.002,0.004,-0.000,0.001,-0.003,-0.004,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.483388,2.494754,1.357340,0.843498,0.307256,0.001693,0.137481,0.169725,48.254013,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
5,10:44:21,2025-03-11,Petals barcode,Shea Nolan,,003,A,bottom,0.002130,2.539012,0.002128,0.043161,1.023239,1.021697,2.977572,1.954333,10.389037,10.404721,30.277185,0.441786,7.500000,36.52,36.46,22.90,23.90,23.90,98.34,120.3,119.6,0.6,1479,4.030,10:31:13,2025-03-11,-0.06,1,-0.000,0.002,-9999.000,0.002,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.479519,2.490649,1.357161,0.842909,0.296655,0.010913,0.160439,1.391008,47.505497,0.000134,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
6,10:45:05,2025-03-11,Petals barcode,Shea Nolan,,003,A,top,0.002632,2.539961,0.002629,0.046330,1.004063,1.002409,2.704361,1.700298,10.193139,10.209968,27.499695,0.441786,7.500000,35.66,35.60,22.97,22.31,22.31,98.34,120.4,119.6,0.7,253,4.029,10:44:36,2025-03-11,0.06,1,0.001,0.003,-9999.000,-0.001,-0.004,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.478201,2.489142,1.357725,0.842898,0.295714,-0.008206,0.164281,0.326506,47.388554,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
7,10:49:20,2025-03-11,Petals barcode,Shea Nolan,,004,A,bottom,-0.014635,2.540275,-0.014720,-0.227910,1.021671,1.029812,2.517507,1.495836,10.467936,10.385185,25.590210,0.441786,7.500000,37.06,37.36,22.63,21.14,21.14,98.38,120.4,119.6,0.7,147,4.026,10:44:36,2025-03-11,0.06,1,0.001,-0.004,-9999.000,0.001,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480926,2.491354,1.357912,0.842848,0.299872,-0.017386,0.185861,0.234263,46.769501,0.000130,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
8,10:50:06,2025-03-11,Petals barcode,Shea Nolan,,004,A,top,0.002753,2.538639,0.002750,0.046228,1.017478,1.015824,2.640498,1.623020,10.324309,10.341112,26.836643,0.441786,7.500000,37.09,37.03,22.55,21.92,21.92,98.39,120.3,119.8,0.4,35,4.025,10:44:36,2025-03-11,0.06,1,-0.000,-0.002,-9999.000,-0.003,-0.005,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.480449,2.491414,1.356940,0.843337,0.300838,-0.007707,0.189602,0.136797,46.673656,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-26T02:26:52.357Z
