SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample,Study plot,Petal side,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,10:03:24,2025-04-03,Petals MtDiablo,Shea Nolan,,001,A,bottom,0.034848,2.537833,0.034376,0.309120,0.989924,0.978804,1.866254,0.876330,9.898808,10.011261,18.873734,0.441786,7.500000,54.40,53.79,15.96,16.35,16.35,98.88,120.2,120.3,-0.1,1082,3.732,09:53:51,2025-04-03,0.21,1,0.003,0.001,-0.015,-0.003,0.001,-0.002,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.506609,2.518369,1.356461,0.844637,0.392055,0.004744,0.109693,1.046381,37.482979,0.000130,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
2,10:03:53,2025-04-03,Petals MtDiablo,Shea Nolan,,001,A,top,0.034687,2.540449,0.034219,0.303526,0.970604,0.959703,1.835190,0.864586,9.706150,9.816405,18.560568,0.441786,7.500000,53.03,52.43,16.05,16.09,16.09,98.88,120.4,120.3,0.1,142,3.731,09:53:51,2025-04-03,0.21,1,0.001,-0.001,-0.030,-0.002,-0.002,-0.004,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.504635,2.516356,1.358016,0.844464,0.390599,0.000887,0.112539,0.229691,37.433624,0.000129,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
3,10:11:53,2025-04-03,Petals MtDiablo,Shea Nolan,,002,A,bottom,-0.001384,2.538884,-0.001385,-0.017837,1.028463,1.029104,2.280128,1.251665,10.410738,10.404256,23.066488,0.441786,7.500000,49.67,49.70,17.99,19.54,19.54,98.85,120.3,120.0,0.3,1235,3.724,10:04:14,2025-04-03,-0.07,1,-0.002,-0.003,-0.012,-0.005,-0.005,-0.005,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.500209,2.511404,1.357085,0.843821,0.361185,0.017139,0.155599,1.179394,36.733391,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
4,10:12:21,2025-04-03,Petals MtDiablo,Shea Nolan,,002,A,top,0.003913,2.539393,0.003907,0.055264,0.981613,0.979628,2.356216,1.374603,9.910946,9.931031,23.837961,0.441786,7.500000,46.97,46.88,18.14,20.07,20.07,98.84,120.3,120.3,0.0,826,3.723,10:04:14,2025-04-03,-0.07,1,-0.001,-0.000,-9999.000,-0.001,-0.002,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.496061,2.507401,1.357388,0.844549,0.359038,0.021402,0.157776,0.824112,36.670090,0.000131,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
5,10:24:41,2025-04-03,Petals MtDiablo,Shea Nolan,,003,A,bottom,-0.004278,2.540015,-0.004285,-0.081040,1.079596,1.082505,2.911871,1.832275,10.946940,10.917527,29.446604,0.441786,7.500000,42.79,42.91,21.17,23.53,23.53,98.89,120.4,120.0,0.3,1882,3.711,10:04:14,2025-04-03,-0.07,1,-0.000,-0.002,-9999.000,0.004,0.001,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.489518,2.500497,1.357758,0.843802,0.317848,0.026484,0.212143,1.740905,35.781025,0.000133,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
6,10:25:16,2025-04-03,Petals MtDiablo,Shea Nolan,,003,A,top,0.007702,2.541809,0.007679,0.132886,1.116555,1.111793,2.794012,1.677458,11.243176,11.291332,28.254881,0.441786,7.500000,44.02,43.84,21.26,22.85,22.85,98.89,120.5,120.0,0.4,1294,3.710,10:24:56,2025-04-03,0.10,1,-0.000,-0.001,0.007,0.004,0.006,0.009,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.490861,2.502057,1.358825,0.843888,0.316739,0.017607,0.214772,1.230095,35.822151,0.000135,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
7,10:29:02,2025-04-03,Petals MtDiablo,Shea Nolan,,004,A,bottom,0.014426,2.541899,0.014345,0.216454,1.140747,1.132992,2.604695,1.463948,11.456983,11.535399,26.339050,0.441786,7.500000,44.76,44.46,21.34,21.70,21.70,98.89,120.5,120.0,0.5,1814,3.707,10:24:56,2025-04-03,0.10,1,-0.001,0.001,-9999.000,-0.001,0.000,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.491755,2.503133,1.358879,0.843808,0.315745,0.003582,0.230831,1.682003,35.858273,0.000132,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
8,10:29:18,2025-04-03,Petals MtDiablo,Shea Nolan,,004,A,top,0.005249,2.539811,0.005238,0.095844,1.182315,1.178878,2.953937,1.771622,11.921829,11.956584,29.872749,0.441786,7.500000,46.26,46.13,21.38,23.77,23.77,98.88,120.4,120.1,0.3,1082,3.706,10:24:56,2025-04-03,0.10,1,-0.001,-0.000,-9999.000,0.001,0.003,-9999.000,1,115,0.005,2.000000,0.058905,0.000000,0.029230,0.000000,0.000000,-0.000068,standard,2.494188,2.505340,1.357636,0.843969,0.315171,0.026820,0.232024,1.045803,35.882950,0.000136,2.417466,-0.000070,1.000000,2.427854,-0.000070,1.000000,0.600196,0.599648,0.106705,0.000000,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-03-19T00:30:05.507Z
