SYS,SYS,SYS,SYS,SYS,USERDEF,USERDEF,USERDEF,USERDEF,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,PORO,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,SENSOR,MATCH,MATCH,MATCH,MATCH,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,STABILITY,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,P_CONFIG,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,SENSOR_V,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,USERCAL,META,META,META,META,META,META,META
Obs#,Time,Date,configName,configAuthor,remark,Sample,Study plot,Petal side,gsw,gbw,gtw,E_apparent,VPcham,VPref,VPleaf,VPDleaf,H2O_r,H2O_s,H2O_leaf,leaf_area,leaf_width,rh_s,rh_r,Tref,Tmeas,Tleaf,P_atm,flow,flow_s,leak_pct,Qamb,batt,match_time,match_date,rh_adj,type,gsw1sec,gsw2sec,gsw4sec,flr1sec,flr2sec,flr4sec,auto,flow_set,gsw_limit,gsw_period,aw,Bla,Blb,Blc,Bld,Ble,chamber,v_humA,v_humB,v_flowIn,v_flowOut,v_temp,v_irt,v_pres,v_par,v_F,i_LED,b_rhr,m_rhr,span_rhr,b_rhs,m_rhs,span_rhs,z_flowIn,z_flowOut,z_quantum,z_flr,flashId,lciSerNum,lcpSerNum,lcfSerNum,lcrhSerNum,version,configUpdatedAt
,HHMMSS,YYYYMMDD,,,,,,,mol+1m-2s-1,mol+1m-2s-1,mol+1m-2s-1,mmol+1m-2s-1,kPa,kPa,kPa,kPa,mmol+1mol-1,mmol+1mol-1,mmol+1mol-1,cm+2,mm,%,%,C,C,C,kPa,umol+1sec-1,umol+1sec-1,%,umol+1m-2s-1,V,HHMMSS,YYYYMMDD,%,,,,,,,,,umol+1sec-1,(umol+1m-2s-1)s-1,s,,,,,,,,V,V,V,V,V,V,V,V,V,A,,,,,,,,,,,,,,,,,
1,12:59:03,2/25/2025,Petals barcode,Shea Nolan,,1,A,top,0.000884,2.542631,0.000884,0.017054,1.39725,1.396637,3.272421,1.875171,14.039236,14.045396,32.894932,0.441786,7.5,35.4,35.39,28.68,25.48,25.48,99.48,120.6,119.4,1,872,4.125,12:58:09,2/25/2025,0.2,1,0.002,-0.002,-9999,-0.017,-0.031,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.476717,2.487388,1.359315,0.842539,0.235672,-0.03889,0.159334,0.86346,52.449703,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
2,13:00:43,2/25/2025,Petals barcode,Shea Nolan,,1,A,bottom,-0.003769,2.538179,-0.003774,-0.080339,1.311719,1.314616,3.379325,2.067606,13.214449,13.185323,33.968781,0.441786,7.5,34.17,34.25,28.2,26.03,26.03,99.48,120.3,102.2,15,39,4.123,12:58:09,2/25/2025,0.2,1,-0.001,-0.001,0.016,-0.005,-0.015,-0.028,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.475103,2.485614,1.356667,0.802993,0.240186,-0.026835,0.167505,0.140746,50.01247,0.000138,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
3,13:03:44,2/25/2025,Petals barcode,Shea Nolan,,2,A,bottom,0.117323,2.540339,0.112143,1.910343,1.313898,1.245084,2.97235,1.658452,12.513438,13.205042,29.87294,0.441786,7.5,35.94,34.06,27.36,23.87,23.87,99.5,120.4,119.6,0.7,949,4.119,12:58:09,2/25/2025,0.2,1,-0.002,-0.003,-9999,0.003,-0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.474984,2.488471,1.35795,0.842828,0.248287,-0.041687,0.182825,0.930509,48.568008,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
4,13:04:36,2/25/2025,Petals barcode,Shea Nolan,,2,A,top,0.007646,2.537905,0.007623,0.145269,1.286517,1.281274,3.140457,1.85394,12.877713,12.930402,31.563807,0.441786,7.5,35.75,35.61,27.09,24.79,24.79,99.5,120.2,119.4,0.7,52,4.118,12:58:09,2/25/2025,0.2,1,0.001,-0.004,-9999,-0.006,-0.013,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.477365,2.488233,1.356504,0.842414,0.250942,-0.027976,0.186847,0.152276,48.163532,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
5,13:07:19,2/25/2025,Petals barcode,Shea Nolan,,1,A,top,0.009358,2.540782,0.009324,0.183706,1.19842,1.191798,3.115941,1.917521,11.980614,12.04718,31.323154,0.441786,7.5,35.14,34.94,26.18,24.66,24.66,99.48,120.5,119.7,0.6,65,4.116,12:58:09,2/25/2025,0.2,1,0.002,0.003,-9999,-0.006,-0.003,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.476548,2.487476,1.358214,0.843122,0.260178,-0.018734,0.198587,0.16272,47.265171,0.000135,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
6,13:07:57,2/25/2025,Petals barcode,Shea Nolan,,1,A,bottom,-0.000036,2.540603,-0.000036,-0.000828,1.227579,1.227609,3.478367,2.250788,12.343765,12.343466,34.975422,0.441786,7.5,36.27,36.27,26.05,26.51,26.51,99.45,120.4,119.9,0.4,1394,4.115,12:58:09,2/25/2025,0.2,1,0.001,0.001,-9999,0.003,0.001,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.47857,2.489223,1.358108,0.843641,0.26152,0.00442,0.201766,1.317295,47.176479,0.000133,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
7,13:09:01,2/25/2025,Petals barcode,Shea Nolan,,3,A,bottom,0.004982,2.540772,0.004972,0.095732,1.272203,1.268756,3.144666,1.872463,12.756345,12.791008,31.617157,0.441786,7.5,38.07,37.96,25.84,24.81,24.81,99.46,120.5,119.6,0.7,958,4.114,12:58:09,2/25/2025,0.2,1,0.001,0.001,-9999,0,0.002,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.481153,2.491991,1.358208,0.843011,0.263774,-0.012896,0.20725,0.938667,46.972275,0.000134,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
8,13:09:51,2/25/2025,Petals barcode,Shea Nolan,,3,A,top,0.000372,2.541344,0.000372,0.00739,1.276358,1.276092,3.207415,1.931057,12.831044,12.833719,32.250401,0.441786,7.5,38.31,38.3,25.78,25.15,25.15,99.45,120.5,119.8,0.6,16,4.113,13:09:15,2/25/2025,-0.07,1,-0.002,-0.002,-9999,-0.006,-0.009,-9999,1,115,0.005,2,0.058905,0,0.02923,0,0,-0.000068,standard,2.481669,2.492781,1.358549,0.843378,0.26433,-0.008433,0.211558,0.120401,46.862125,0.000131,2.417466,-0.00007,1,2.427854,-0.00007,1,0.600196,0.599648,0.106705,0,,PFA-00224,PSA-00236,,RHS-00313,3.0.0,2025-02-20T23:47:21.745Z
